,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Churn
0,1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.27397645
1,2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.0021951497
2,3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0.9999939
3,4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.011649787
4,5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0.012742341
5,6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.15236369
6,7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.01619652
7,8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.99993086
8,9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0.42291495
9,10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0.02138722
10,11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0.12511516
11,12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0021225214
12,13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.032024056
13,14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.04590535
14,15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.027539164
15,16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0.08773869
16,17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0.9940227
17,18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.009492844
18,19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.4893757
